N�mero_Proveedor,Nombre_Proveedor,CUIT,Categoria_Proveedor,Tipo_Contribuyente,Contacto,Correo_Electrónico,Teléfono,Razón_Social,Importe,Fecha,Nro_Cuenta,Ciudad,Pais
P00102,Ana Rodríguez,30-98765432-5,Consultoría,IVA Responsable,Ana Rodríguez,ana.rodriguez@empresa.abc,0123-5678,S.A.,12770,2019-01-03,501400,Bahía Blanca,Argentina
P00102,Ana Rodríguez,30-98765432-5,Consultoría,IVA Responsable,Ana Rodríguez,ana.rodriguez@empresa.abc,0123-5678,S.A.,279575,2019-04-01,501400,Bahía Blanca,Argentina
P00102,Ana Rodríguez,30-98765432-5,Consultoría,IVA Responsable,Ana Rodríguez,ana.rodriguez@empresa.abc,0123-5678,S.A.,229019,2019-06-01,501400,Bahía Blanca,Argentina
P00102,Ana Rodríguez,30-98765432-5,Consultoría,IVA Responsable,Ana Rodríguez,ana.rodriguez@empresa.abc,0123-5678,S.A.,277032,2021-01-10,501400,Bahía Blanca,Argentina
P00102,Ana Rodríguez,30-98765432-5,Consultoría,IVA Responsable,Ana Rodríguez,ana.rodriguez@empresa.abc,0123-5678,S.A.,170554,2020-10-10,501400,Bahía Blanca,Argentina
P00102,Ana Rodríguez,30-98765432-5,Consultoría,IVA Responsable,Ana Rodríguez,ana.rodriguez@empresa.abc,0123-5678,S.A.,109099,2023-01-03,501400,Bahía Blanca,Argentina
P00102,Ana Rodríguez,30-98765432-5,Consultoría,IVA Responsable,Ana Rodríguez,ana.rodriguez@empresa.abc,0123-5678,S.A.,120929,2023-10-10,501400,Bahía Blanca,Argentina
P00103,Carlos Fernández,27-23456789-1,Energía Renovable,Monotributista,Carlos Fernández,carlos.fernandez@empresa.def,0345-6789,Cooperativa,272036,2019-01-05,501400,Buenos Aires,Argentina
P00103,Carlos Fernández,27-23456789-1,Energía Renovable,Monotributista,Carlos Fernández,carlos.fernandez@empresa.def,0345-6789,Cooperativa,211801,2019-04-04,501400,Buenos Aires,Argentina
P00103,Carlos Fernández,27-23456789-1,Energía Renovable,Monotributista,Carlos Fernández,carlos.fernandez@empresa.def,0345-6789,Cooperativa,153534,2019-06-04,501400,Buenos Aires,Argentina
P00103,Carlos Fernández,27-23456789-1,Energía Renovable,Monotributista,Carlos Fernández,carlos.fernandez@empresa.def,0345-6789,Cooperativa,291211,2021-01-13,501400,Buenos Aires,Argentina
P00103,Carlos Fernández,27-23456789-1,Energía Renovable,Monotributista,Carlos Fernández,carlos.fernandez@empresa.def,0345-6789,Cooperativa,25100,2020-10-13,501400,Buenos Aires,Argentina
P00103,Carlos Fernández,27-23456789-1,Energía Renovable,Monotributista,Carlos Fernández,carlos.fernandez@empresa.def,0345-6789,Cooperativa,136125,2023-01-05,501400,Buenos Aires,Argentina
P00103,Carlos Fernández,27-23456789-1,Energía Renovable,Monotributista,Carlos Fernández,carlos.fernandez@empresa.def,0345-6789,Cooperativa,151245,2023-10-13,501400,Buenos Aires,Argentina
P00104,María González,23-45678901-3,Transporte,Responsable Inscripto,María González,maria.gonzalez@empresa.ghi,0678-3456,S.R.L.,10352,2019-01-07,502100,Buenos Aires,Argentina
P00104,María González,23-45678901-3,Transporte,Responsable Inscripto,María González,maria.gonzalez@empresa.ghi,0678-3456,S.R.L.,199434,2019-04-07,502100,Buenos Aires,Argentina
P00104,María González,23-45678901-3,Transporte,Responsable Inscripto,María González,maria.gonzalez@empresa.ghi,0678-3456,S.R.L.,288754,2021-01-16,502100,Buenos Aires,Argentina
P00104,María González,23-45678901-3,Transporte,Responsable Inscripto,María González,maria.gonzalez@empresa.ghi,0678-3456,S.R.L.,241670,2023-01-07,502100,Buenos Aires,Argentina
P00105,Pedro López,33-56789012-4,Construcción,Monotributista,Pedro López,pedro.lopez@empresa.jkl,0765-4321,S.A.,291670,2019-01-10,516000,Santiago del Estero,Argentina
P00105,Pedro López,33-56789012-4,Construcción,Monotributista,Pedro López,pedro.lopez@empresa.jkl,0765-4321,S.A.,175139,2019-04-10,516000,Santiago del Estero,Argentina
P00105,Pedro López,33-56789012-4,Construcción,Monotributista,Pedro López,pedro.lopez@empresa.jkl,0765-4321,S.A.,140691,2021-01-19,516000,Santiago del Estero,Argentina
P00105,Pedro López,33-56789012-4,Construcción,Monotributista,Pedro López,pedro.lopez@empresa.jkl,0765-4321,S.A.,257510,2023-01-10,516000,Santiago del Estero,Argentina
P00106,Laura Pérez,20-87654321-2,Agroindustria,IVA Responsable,Laura Pérez,laura.perez@empresa.mno,0889-7654,S.R.L.,104176,2019-02-11,507100,Río Cuarto,Argentina
P00106,Laura Pérez,20-87654321-2,Agroindustria,IVA Responsable,Laura Pérez,laura.perez@empresa.mno,0889-7654,S.R.L.,18742,2019-04-13,507100,Río Cuarto,Argentina
P00106,Laura Pérez,20-87654321-2,Agroindustria,IVA Responsable,Laura Pérez,laura.perez@empresa.mno,0889-7654,S.R.L.,29783,2021-01-22,507100,Río Cuarto,Argentina
P00106,Laura Pérez,20-87654321-2,Agroindustria,IVA Responsable,Laura Pérez,laura.perez@empresa.mno,0889-7654,S.R.L.,47776,2023-02-11,507100,Río Cuarto,Argentina
P00107,Javier Ramírez,30-65432109-8,Tecnología,Monotributista,Javier Ramírez,javier.ramirez@empresa.pqr,0999-1234,S.A.,64042,2019-02-14,509100,San Fernando del Valle de Catamarca,Argentina
P00107,Javier Ramírez,30-65432109-8,Tecnología,Monotributista,Javier Ramírez,javier.ramirez@empresa.pqr,0999-1234,S.A.,271022,2019-04-16,509100,San Fernando del Valle de Catamarca,Argentina
P00107,Javier Ramírez,30-65432109-8,Tecnología,Monotributista,Javier Ramírez,javier.ramirez@empresa.pqr,0999-1234,S.A.,269442,2021-01-25,509100,San Fernando del Valle de Catamarca,Argentina
P00107,Javier Ramírez,30-65432109-8,Tecnología,Monotributista,Javier Ramírez,javier.ramirez@empresa.pqr,0999-1234,S.A.,51622,2023-02-14,509100,San Fernando del Valle de Catamarca,Argentina
P00108,Claudia Sánchez,27-76543210-6,Energía Renovable,Responsable Inscripto,Claudia Sánchez,claudia.sanchez@empresa.stu,0777-5678,Cooperativa,131033,2019-02-17,501400,Villa María,Argentina
P00108,Claudia Sánchez,27-76543210-6,Energía Renovable,Responsable Inscripto,Claudia Sánchez,claudia.sanchez@empresa.stu,0777-5678,Cooperativa,166866,2019-04-19,501400,Villa María,Argentina
P00108,Claudia Sánchez,27-76543210-6,Energía Renovable,Responsable Inscripto,Claudia Sánchez,claudia.sanchez@empresa.stu,0777-5678,Cooperativa,42714,2021-01-28,501400,Villa María,Argentina
P00108,Claudia Sánchez,27-76543210-6,Energía Renovable,Responsable Inscripto,Claudia Sánchez,claudia.sanchez@empresa.stu,0777-5678,Cooperativa,130133,2023-02-17,501400,Villa María,Argentina
P00109,Daniel Morales,23-87654320-5,Transporte,Monotributista,Daniel Morales,daniel.morales@empresa.vwx,0555-4321,S.R.L.,152895,2019-02-20,502100,San Luis,Argentina
P00109,Daniel Morales,23-87654320-5,Transporte,Monotributista,Daniel Morales,daniel.morales@empresa.vwx,0555-4321,S.R.L.,230465,2019-04-22,502100,San Luis,Argentina
P00109,Daniel Morales,23-87654320-5,Transporte,Monotributista,Daniel Morales,daniel.morales@empresa.vwx,0555-4321,S.R.L.,190624,2021-02-01,502100,San Luis,Argentina
P00109,Daniel Morales,23-87654320-5,Transporte,Monotributista,Daniel Morales,daniel.morales@empresa.vwx,0555-4321,S.R.L.,232698,2023-02-20,502100,San Luis,Argentina
P00110,Gabriela Torres,33-76543219-7,Construcción,IVA Responsable,Gabriela Torres,gabriela.torres@empresa.yza,0666-2345,S.A.,192247,2019-01-12,516000,Chaco,Argentina
P00110,Gabriela Torres,33-76543219-7,Construcción,IVA Responsable,Gabriela Torres,gabriela.torres@empresa.yza,0666-2345,S.A.,215535,2019-02-23,516000,Chaco,Argentina
P00110,Gabriela Torres,33-76543219-7,Construcción,IVA Responsable,Gabriela Torres,gabriela.torres@empresa.yza,0666-2345,S.A.,53588,2019-04-25,516000,Chaco,Argentina
P00110,Gabriela Torres,33-76543219-7,Construcción,IVA Responsable,Gabriela Torres,gabriela.torres@empresa.yza,0666-2345,S.A.,198463,2021-02-04,516000,Chaco,Argentina
P00110,Gabriela Torres,33-76543219-7,Construcción,IVA Responsable,Gabriela Torres,gabriela.torres@empresa.yza,0666-2345,S.A.,193408,2023-01-12,516000,Chaco,Argentina
P00110,Gabriela Torres,33-76543219-7,Construcción,IVA Responsable,Gabriela Torres,gabriela.torres@empresa.yza,0666-2345,S.A.,175620,2023-02-23,516000,Chaco,Argentina
P00111,Jorge Herrera,20-87654322-3,Agroindustria,Monotributista,Jorge Herrera,jorge.herrera@empresa.bcd,0123-9876,S.R.L.,233493,2019-01-15,507100,Buenos Aires,Argentina
P00111,Jorge Herrera,20-87654322-3,Agroindustria,Monotributista,Jorge Herrera,jorge.herrera@empresa.bcd,0123-9876,S.R.L.,172873,2019-02-26,507100,Buenos Aires,Argentina
P00111,Jorge Herrera,20-87654322-3,Agroindustria,Monotributista,Jorge Herrera,jorge.herrera@empresa.bcd,0123-9876,S.R.L.,134090,2019-04-28,507100,Buenos Aires,Argentina
P00111,Jorge Herrera,20-87654322-3,Agroindustria,Monotributista,Jorge Herrera,jorge.herrera@empresa.bcd,0123-9876,S.R.L.,128552,2021-02-07,507100,Buenos Aires,Argentina
P00111,Jorge Herrera,20-87654322-3,Agroindustria,Monotributista,Jorge Herrera,jorge.herrera@empresa.bcd,0123-9876,S.R.L.,200989,2023-01-15,507100,Buenos Aires,Argentina
P00111,Jorge Herrera,20-87654322-3,Agroindustria,Monotributista,Jorge Herrera,jorge.herrera@empresa.bcd,0123-9876,S.R.L.,248690,2023-02-26,507100,Buenos Aires,Argentina
P00112,Silvia Ramírez,30-76543214-8,Tecnología,IVA Responsable,Silvia Ramírez,silvia.ramirez@empresa.efg,0999-2345,S.A.,39393,2019-01-17,509100,San Nicolás,Argentina
P00112,Silvia Ramírez,30-76543214-8,Tecnología,IVA Responsable,Silvia Ramírez,silvia.ramirez@empresa.efg,0999-2345,S.A.,202116,2019-03-01,509100,San Nicolás,Argentina
P00112,Silvia Ramírez,30-76543214-8,Tecnología,IVA Responsable,Silvia Ramírez,silvia.ramirez@empresa.efg,0999-2345,S.A.,282553,2019-05-01,509100,San Nicolás,Argentina
P00112,Silvia Ramírez,30-76543214-8,Tecnología,IVA Responsable,Silvia Ramírez,silvia.ramirez@empresa.efg,0999-2345,S.A.,143848,2021-02-10,509100,San Nicolás,Argentina
P00112,Silvia Ramírez,30-76543214-8,Tecnología,IVA Responsable,Silvia Ramírez,silvia.ramirez@empresa.efg,0999-2345,S.A.,172745,2023-01-17,509100,San Nicolás,Argentina
P00112,Silvia Ramírez,30-76543214-8,Tecnología,IVA Responsable,Silvia Ramírez,silvia.ramirez@empresa.efg,0999-2345,S.A.,176341,2023-03-01,509100,San Nicolás,Argentina
P00113,Roberto Cruz,27-23456789-3,Energía Renovable,Responsable Inscripto,Roberto Cruz,roberto.cruz@empresa.hij,0555-9876,Cooperativa,125746,2019-01-20,501400,Luján,Argentina
P00113,Roberto Cruz,27-23456789-3,Energía Renovable,Responsable Inscripto,Roberto Cruz,roberto.cruz@empresa.hij,0555-9876,Cooperativa,259600,2019-03-04,501400,Luján,Argentina
P00113,Roberto Cruz,27-23456789-3,Energía Renovable,Responsable Inscripto,Roberto Cruz,roberto.cruz@empresa.hij,0555-9876,Cooperativa,232274,2019-05-04,501400,Luján,Argentina
P00113,Roberto Cruz,27-23456789-3,Energía Renovable,Responsable Inscripto,Roberto Cruz,roberto.cruz@empresa.hij,0555-9876,Cooperativa,49747,2019-06-07,501400,Luján,Argentina
P00113,Roberto Cruz,27-23456789-3,Energía Renovable,Responsable Inscripto,Roberto Cruz,roberto.cruz@empresa.hij,0555-9876,Cooperativa,111656,2021-02-13,501400,Luján,Argentina
P00113,Roberto Cruz,27-23456789-3,Energía Renovable,Responsable Inscripto,Roberto Cruz,roberto.cruz@empresa.hij,0555-9876,Cooperativa,43202,2020-10-16,501400,Luján,Argentina
P00113,Roberto Cruz,27-23456789-3,Energía Renovable,Responsable Inscripto,Roberto Cruz,roberto.cruz@empresa.hij,0555-9876,Cooperativa,129158,2023-01-20,501400,Luján,Argentina
P00113,Roberto Cruz,27-23456789-3,Energía Renovable,Responsable Inscripto,Roberto Cruz,roberto.cruz@empresa.hij,0555-9876,Cooperativa,152240,2023-03-04,501400,Luján,Argentina
P00113,Roberto Cruz,27-23456789-3,Energía Renovable,Responsable Inscripto,Roberto Cruz,roberto.cruz@empresa.hij,0555-9876,Cooperativa,35853,2023-10-16,501400,Luján,Argentina
P00114,Patricia Gómez,23-87654323-6,Transporte,Monotributista,Patricia Gómez,patricia.gomez@empresa.klm,0765-3456,S.R.L.,13869,2019-01-22,502100,Jujuy,Argentina
P00114,Patricia Gómez,23-87654323-6,Transporte,Monotributista,Patricia Gómez,patricia.gomez@empresa.klm,0765-3456,S.R.L.,157396,2019-03-07,502100,Jujuy,Argentina
P00114,Patricia Gómez,23-87654323-6,Transporte,Monotributista,Patricia Gómez,patricia.gomez@empresa.klm,0765-3456,S.R.L.,97345,2019-05-07,502100,Jujuy,Argentina
P00114,Patricia Gómez,23-87654323-6,Transporte,Monotributista,Patricia Gómez,patricia.gomez@empresa.klm,0765-3456,S.R.L.,57351,2019-06-10,502100,Jujuy,Argentina
P00114,Patricia Gómez,23-87654323-6,Transporte,Monotributista,Patricia Gómez,patricia.gomez@empresa.klm,0765-3456,S.R.L.,251228,2021-02-16,502100,Jujuy,Argentina
P00114,Patricia Gómez,23-87654323-6,Transporte,Monotributista,Patricia Gómez,patricia.gomez@empresa.klm,0765-3456,S.R.L.,257036,2020-10-19,502100,Jujuy,Argentina
P00114,Patricia Gómez,23-87654323-6,Transporte,Monotributista,Patricia Gómez,patricia.gomez@empresa.klm,0765-3456,S.R.L.,226947,2023-01-22,502100,Jujuy,Argentina
P00114,Patricia Gómez,23-87654323-6,Transporte,Monotributista,Patricia Gómez,patricia.gomez@empresa.klm,0765-3456,S.R.L.,57471,2023-10-19,502100,Jujuy,Argentina
P00115,Ernesto Ruiz,33-65432198-7,Construcción,IVA Responsable,Ernesto Ruiz,ernesto.ruiz@empresa.nop,0889-6543,S.A.,277243,2019-01-25,516000,Buenos Aires,Argentina
P00115,Ernesto Ruiz,33-65432198-7,Construcción,IVA Responsable,Ernesto Ruiz,ernesto.ruiz@empresa.nop,0889-6543,S.A.,184382,2019-03-10,516000,Buenos Aires,Argentina
P00115,Ernesto Ruiz,33-65432198-7,Construcción,IVA Responsable,Ernesto Ruiz,ernesto.ruiz@empresa.nop,0889-6543,S.A.,273206,2019-05-10,516000,Buenos Aires,Argentina
P00115,Ernesto Ruiz,33-65432198-7,Construcción,IVA Responsable,Ernesto Ruiz,ernesto.ruiz@empresa.nop,0889-6543,S.A.,109321,2019-06-13,516000,Buenos Aires,Argentina
P00115,Ernesto Ruiz,33-65432198-7,Construcción,IVA Responsable,Ernesto Ruiz,ernesto.ruiz@empresa.nop,0889-6543,S.A.,11195,2021-02-19,516000,Buenos Aires,Argentina
P00115,Ernesto Ruiz,33-65432198-7,Construcción,IVA Responsable,Ernesto Ruiz,ernesto.ruiz@empresa.nop,0889-6543,S.A.,218095,2020-10-22,516000,Buenos Aires,Argentina
P00115,Ernesto Ruiz,33-65432198-7,Construcción,IVA Responsable,Ernesto Ruiz,ernesto.ruiz@empresa.nop,0889-6543,S.A.,14028,2023-01-25,516000,Buenos Aires,Argentina
P00115,Ernesto Ruiz,33-65432198-7,Construcción,IVA Responsable,Ernesto Ruiz,ernesto.ruiz@empresa.nop,0889-6543,S.A.,289894,2023-10-22,516000,Buenos Aires,Argentina
P00116,Valeria Ortega,20-98765432-9,Agroindustria,Monotributista,Valeria Ortega,valeria.ortega@empresa.qrs,0777-7654,S.R.L.,212213,2019-01-27,507100,Buenos Aires,Argentina
P00116,Valeria Ortega,20-98765432-9,Agroindustria,Monotributista,Valeria Ortega,valeria.ortega@empresa.qrs,0777-7654,S.R.L.,189803,2019-03-13,507100,Buenos Aires,Argentina
P00116,Valeria Ortega,20-98765432-9,Agroindustria,Monotributista,Valeria Ortega,valeria.ortega@empresa.qrs,0777-7654,S.R.L.,91956,2019-05-13,507100,Buenos Aires,Argentina
P00116,Valeria Ortega,20-98765432-9,Agroindustria,Monotributista,Valeria Ortega,valeria.ortega@empresa.qrs,0777-7654,S.R.L.,94918,2019-06-16,507100,Buenos Aires,Argentina
P00116,Valeria Ortega,20-98765432-9,Agroindustria,Monotributista,Valeria Ortega,valeria.ortega@empresa.qrs,0777-7654,S.R.L.,262781,2020-09-22,507100,Buenos Aires,Argentina
P00116,Valeria Ortega,20-98765432-9,Agroindustria,Monotributista,Valeria Ortega,valeria.ortega@empresa.qrs,0777-7654,S.R.L.,113111,2020-10-25,507100,Buenos Aires,Argentina
P00116,Valeria Ortega,20-98765432-9,Agroindustria,Monotributista,Valeria Ortega,valeria.ortega@empresa.qrs,0777-7654,S.R.L.,93391,2023-01-27,507100,Buenos Aires,Argentina
P00116,Valeria Ortega,20-98765432-9,Agroindustria,Monotributista,Valeria Ortega,valeria.ortega@empresa.qrs,0777-7654,S.R.L.,228821,2023-10-25,507100,Buenos Aires,Argentina
P00117,Juan Castillo,30-87654321-0,Tecnología,IVA Responsable,Juan Castillo,juan.castillo@empresa.tuv,0345-9998,S.A.,214933,2019-01-30,509100,Trelew,Argentina
P00117,Juan Castillo,30-87654321-0,Tecnología,IVA Responsable,Juan Castillo,juan.castillo@empresa.tuv,0345-9998,S.A.,121607,2019-03-16,509100,Trelew,Argentina
P00117,Juan Castillo,30-87654321-0,Tecnología,IVA Responsable,Juan Castillo,juan.castillo@empresa.tuv,0345-9998,S.A.,63352,2019-05-16,509100,Trelew,Argentina
P00117,Juan Castillo,30-87654321-0,Tecnología,IVA Responsable,Juan Castillo,juan.castillo@empresa.tuv,0345-9998,S.A.,60909,2019-06-19,509100,Trelew,Argentina
P00117,Juan Castillo,30-87654321-0,Tecnología,IVA Responsable,Juan Castillo,juan.castillo@empresa.tuv,0345-9998,S.A.,191131,2020-09-25,509100,Trelew,Argentina
P00117,Juan Castillo,30-87654321-0,Tecnología,IVA Responsable,Juan Castillo,juan.castillo@empresa.tuv,0345-9998,S.A.,30101,2020-10-28,509100,Trelew,Argentina
P00117,Juan Castillo,30-87654321-0,Tecnología,IVA Responsable,Juan Castillo,juan.castillo@empresa.tuv,0345-9998,S.A.,239664,2023-01-30,509100,Trelew,Argentina
P00117,Juan Castillo,30-87654321-0,Tecnología,IVA Responsable,Juan Castillo,juan.castillo@empresa.tuv,0345-9998,S.A.,16770,2023-10-28,509100,Trelew,Argentina
P00118,Sofía Martínez,27-12345678-9,Energía Renovable,Responsable Inscripto,Sofía Martínez,sofia.martinez@empresa.wxy,0555-2345,Cooperativa,167832,2019-02-02,501400,Mendoza,Argentina
P00118,Sofía Martínez,27-12345678-9,Energía Renovable,Responsable Inscripto,Sofía Martínez,sofia.martinez@empresa.wxy,0555-2345,Cooperativa,247694,2019-03-19,501400,Mendoza,Argentina
P00118,Sofía Martínez,27-12345678-9,Energía Renovable,Responsable Inscripto,Sofía Martínez,sofia.martinez@empresa.wxy,0555-2345,Cooperativa,113663,2019-05-19,501400,Mendoza,Argentina
P00118,Sofía Martínez,27-12345678-9,Energía Renovable,Responsable Inscripto,Sofía Martínez,sofia.martinez@empresa.wxy,0555-2345,Cooperativa,19987,2019-06-22,501400,Mendoza,Argentina
P00118,Sofía Martínez,27-12345678-9,Energía Renovable,Responsable Inscripto,Sofía Martínez,sofia.martinez@empresa.wxy,0555-2345,Cooperativa,26855,2020-09-28,501400,Mendoza,Argentina
P00118,Sofía Martínez,27-12345678-9,Energía Renovable,Responsable Inscripto,Sofía Martínez,sofia.martinez@empresa.wxy,0555-2345,Cooperativa,299321,2020-11-01,501400,Mendoza,Argentina
P00118,Sofía Martínez,27-12345678-9,Energía Renovable,Responsable Inscripto,Sofía Martínez,sofia.martinez@empresa.wxy,0555-2345,Cooperativa,145362,2023-02-02,501400,Mendoza,Argentina
P00118,Sofía Martínez,27-12345678-9,Energía Renovable,Responsable Inscripto,Sofía Martínez,sofia.martinez@empresa.wxy,0555-2345,Cooperativa,52591,2023-11-01,501400,Mendoza,Argentina
P00119,Pablo Díaz,23-87654329-8,Transporte,Monotributista,Pablo Díaz,pablo.diaz@empresa.zab,0123-7654,S.R.L.,285851,2019-02-05,502100,San Fernando,Argentina
P00119,Pablo Díaz,23-87654329-8,Transporte,Monotributista,Pablo Díaz,pablo.diaz@empresa.zab,0123-7654,S.R.L.,266431,2019-03-22,502100,San Fernando,Argentina
